SolicitationType,Category,ShortDescription,LongDescription,CloseDateUtc,ContactFirstName,ContactLastName,ContactPhone,ContactFax,CreatedDate,PostDateUtc,SubmissionAddress,Title,RegionOfDelivery,RegionOfOpportunity,AgreementType,OpportunityType,AitExceptionReason,Jurisdiction,SystemOfOrigin,SystemOfOrigin2,OriginSystemUrl,Gsins,ResponseSpecifics,OpportunityGuid,SolicitationNumber,ReferenceNumber
Advanced Contract Award Notice,Goods,Autonomous Mower / Sweeper,The City of Edmonton is looking at purchasing an autonomous mower / sweeper for sidewalks and roadways.  Detailed specifications are on the document attached to this posting notification.,2019-07-15T22:00:59,Jeff,Pitts,780 496 6156,,2019-06-28T15:43:07,2019-06-28T15:56:48,,Autonomous Mower/Sweeper (City of Edmonton),Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=72B00455-3748-46C9-8E90-D69DB7221AF5,"N3695F Robotic Systems and Equipment  N3750E Mowers, Lawn  N3825 Road Clearing and Cleaning Equipment  N3825F Snow Removal Units, Walking Power Driven  N3825T Brush, Sweeper, Road and Runway  N9999 Miscellaneous Items",,72b00455-3748-46c9-8e90-d69db7221af5,934275,AB-2019-04124
Negotiated Request for Proposal,Services,,"This Contract involves all labour, materials, and equipment required to provide for parking management services, for the City of Edmonton at selected Edmonton Transit Service (ETS) paid park and ride locations in Edmonton.",2019-07-09T22:00:00,Matt,Coulter,780-496-5123,,2019-06-05T22:07:41,2019-06-05T22:12:12,,City of Edmonton - Parking Management Services,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=065472B5-A5C3-4496-8585-D73E363632B5,M290A Property Management - Non-Building Facilities  M290B Parking Facilities,Please refer to the Sourcing Event notification attached.,065472b5-a5c3-4496-8585-d73e363632b5,933827,AB-2019-03719
Request for Tender,Services,"The demolition and disposal of the existing Martin Browne school building, removal and abandonment of the existing building services, i.e., water, and sanitary sewer, removal of the existing playground equipment and board walks, removal of the existing separate sidewalk within the property line etc.","For Bid Documents, please visit the following link:
https://lloydminster.bidsandtenders.ca/Module/Tenders/en",2019-07-11T20:00:00,Nicholas,Grant,(780)874-3700,,2019-06-19T16:27:29,2019-06-20T18:00:00,"City of Lloydminster
Planning and Engineering
6623-52 Street
Lloydminster, AB
T9V 3T8",Martin Browne School Site Demolition,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F153735C-8859-4160-A844-D79BE198BB07,5112B Demolition Work,"Bids shall be made on the Bid Form provided and shall be submitted in a sealed envelope clearly marked and addressed to the Closing Place as follows:

City of Lloydminster Operations Centre – Engineering Services
6623 – 52 Street Lloydminster, AB T9V 3T8
Bid for:

   Martin Browne School Site Demolition	
(the “Project”)


must be delivered to the Closing Place before the Bid Closing Time of 2:00:00 PM local time on July 04, 2019. The time will be conclusively determined by a clock designated by the Owner or the Engineer.",f153735c-8859-4160-a844-d79be198bb07,ESRFT 2019-01,AB-2019-03935
Request for Proposal,Services,,"GEF Seniors Housing is requesting proposals from firms who can provide resident digital living solutions including, but not limited to, bulk network television, internet, telephone, and customizable in-suite information services for our residents and within our common areas. This service is for providing a value added service to our residents who live within GEF Communities.",2019-07-29T20:00:00,Gerald,Flaska,780-447-9219,780-488-3561,2019-07-02T15:29:32,2019-07-02T15:38:58,"GEF Seniors Housing
14220 - 109 Avenue
Edmonton, AB  T5N 4B3",Resident Digital Living Solutions,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F28DD91C-F222-4A8A-86CA-D7CE6B601057,JI5805A Telephone Cable Systems - Installation  S002A Telephone Services  T002G Internet Communication Services  WL5805A TELECOMMUNICATIONS/DIGITAL DATA NETWORK. LEASING,"Submissions must be received by 2:00 p.m. Mountain Standard Time, on 
July 29, 2019 at the following location:

Attention: Reception
GEF Seniors Housing
14220 – 109 Avenue
Edmonton, AB T5N 4B3

Submissions will not be opened publicly and all information contained within submissions received will be considered confidential.  Debrief to unsuccessful Contractors may or may not be entertained.

Submissions shall be clearly marked as follows:

RFP A01-2019-006
Central Services
Request for Proposals For
Resident Digital Living Solutions
Closing July 29, 2019 2:00 p.m.",f28dd91c-f222-4a8a-86ca-d7ce6b601057,A01-2019-006,AB-2019-04148
Invitation to Bid,Construction,,"Bids are invited for the renovation of the science lab at Westmount Charter School, Sir William van Horne Campus located at 2215 Uxbridge Dr NW, Calgary, AB T2N 4Y3.",2019-07-05T20:00:00,Elke,Goebel,403 - 457-5464,,2019-06-07T21:56:43,2019-06-07T22:16:56,"Westmount Charter School
c/o Iwanski Architecture Inc.
509 2nd Street SW
Calgary, AB T2P 1N8

Attention: Elke Goebel",Westmount Charter School Science Lab Renovation,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=B71636CA-D4C8-4432-9B66-D88B3CA1C84F,5127B Construction of Educational Buildings,,b71636ca-d4c8-4432-9b66-d88b3ca1c84f,19006,AB-2019-03765
Request for Qualification,Services,,"The Summer Village of Poplar Bay is located along the southwest corner of Pigeon Lake, Alberta.  The Summer Village of Poplar Bay wishes to obtain proposals from qualified Contractors for the construction of the South Side Pigeon Lake Wastewater Collection System – Contract 4B – Poplar Bay – Grinder Pumps project.

he Summer Village of Poplar Bay is constructing a low pressure sanitary collection system for Poplar Bay.  On-going work includes the directional drilling of 40 mm or 50 mm DR 11 HDPE service lines from the sanitary forcemain towards each on-lot septic tank and service valve installation near the property line by others.  The majority of the service lines will be pig-tailed and daylight near the existing or future tank location; or the service lines will be connected to the existing tanks by others.

As part of the Poplar Bay – Grinder Pumps project, Contractors are to supply and install an alarm, grinder pump system and associated equipment to complete service connections for the collection system at Poplar Bay.

A location and site plan is included in Appendix B.

Major work items for this contract will include the following (approximation):
a)	Supply of alarm and grinder pump systems with associated components.
b)	Installation of or retrofitting existing septic tanks.
c)	Installation of alarm and grinder pump systems with associated components.
d)	Completion of the service line tie-in to the septic tanks (optional).

The intent of this qualification process is to allow the Summer Village of Poplar Bay to rate and select eligible Contractors that will bid the necessary services to facilitate the construction of the above noted project.   

Through this request for qualifications the Summer Village of Poplar Bay seeks to ensure that companies that bid on this Contract have the experience, skill, ability, resources, bonding, integrity, and safety requirements needed to complete the specific work of this project.",2019-07-05T20:00:00,Harlen,Hippe,403-348-8340,,2019-06-20T19:54:34,2019-06-20T20:04:47,"MPE Engineering Ltd, Red Deer office
4702-49 Avenue, Suite 102
Red Deer, AB  T4N 6L5",Contract 4B - Poplar Bay - Grinder Pumps,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=2DFA0584-D6C3-4BBA-9675-DA4AF00B111B,N4630AB Comminutors and Grinders,"Four (4) paper copies of the Contractor’s submission, signed and dated by the Contractor’s authorized representative, and one (1) electronic copy must be received by the MPE Engineering Ltd. Red Deer Office no later than 2:00 p.m. local time on Friday, July 5, 2019 and marked:

SOUTH SIDE PIGEON LAKE WASTEWATER COLLECTION SYSTEM
CONTRACT 4B
POPLAR BAY – GRINDER PUMPS
REQUEST FOR QUALIFICATION",2dfa0584-d6c3-4bba-9675-da4af00b111b,4010-003-04,AB-2019-03971
Request for Proposal,Services,,Request for Proposals for Phase I and II Environmental Site Assessment and Environmental Liability Assessment,2019-07-03T20:00:00,Kari,Resvick,780 980 7102,780 980 7127,2019-06-12T21:15:57,2019-06-12T21:38:29,"City of Leduc
#1 Alexandra Park (48A St & 46 Ave)
Leduc, AB  T9E 4C4

780-980-7177",Request for Proposals for Phase I and II Environmental Site Assessment,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=A1073F67-6473-46CD-B8C9-DB51576F922E,AH115032 Environmental Assessment (R&D),"Emailed or faxed submissions are not accepted and will not be considered.

Late submissions, regardless the reason, will not be considered.",a1073f67-6473-46cd-b8c9-db51576f922e,ENG-2019-0612,AB-2019-03834
Negotiated Request for Proposal,Services,,"The City’s desire is to provide a cost-effective and accessible transportation service through the use of private sedans and accessible vans, as a valued component of the transportation network for person with disabilities.  The selected Proponent must provide curb-to-curb services for eligible clients of the ACCESS Airdrie program (maintained by the City) for specialized medical trips to Calgary.  The Proponent shall pick up clients at a designated location, transport the client to their appointment and return the client to the place of origin in a safe and reliable manner.",2019-07-11T20:00:59,Cheryl,Comeau,403-948-8402,,2019-06-11T15:53:28,2019-06-11T16:13:42,"City of Airdrie,
400 Main Street SE
Airdrie, AB T4B 3C3",Transportation Services – Specialized Medical Trips to Calgary,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=417ACB47-FCE6-44CD-8BF2-DE0E6BC088CD,V401B Transportation,"Proposals will be received up to 2:00:59 P.M. Local time on  July 11, 2019

All proposals should be in a sealed envelope, signed and marked as follows: Transportation Services – Specialized Medial Trips to Calgary

Proposals must be received by the submission deadline outlined above.  For practical reasons, proposals received after the submission deadline will be returned unopened and will not be considered.  The official time of receipt shall be determined by the central system telephone clock.  Proposals shall be time-stamped and initialled upon receipt by the City.  The City will not accept proposals by fax or email. 

Submit 1 hard copy and 1 electronic copy for evaluation.",417acb47-fce6-44cd-8bf2-de0e6bc088cd,R889-2019-CM,AB-2019-03792
Request for Quotation,Goods,,Parkland County is seeking submissions from suppliers who can provide two (2) Side by Side Utility Vehicles in accordance with the Equipment Specifications identified in Schedule II. Parkland County uses the utility vehicles for light construction maintenance work.,2019-07-16T20:00:00,Taha,Rizvi,780-968-8888 ext. 8242,,2019-06-21T19:11:55,2019-06-21T19:26:32,"53109A Hwy 779 
Parkland County, AB, T7Z 1R1",Supply of Side by Side Utility Vehicles,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=D482143E-2404-4368-BEAB-DE67932BD33F,"N2320B Truck, Utility, 4 X 4, Military Configuration  N2320BA Truck, Utility, 1-1/4 Ton, 4 X 4, XW350, Military Configuration  N2320BB Truck, Light, Utility, 1/4 Ton, 4 X 4, Military Configuration  N2320L51 Truck, Light, Utility, 4 X 4  N2320L71 Truck, Light, Utility, 4 X 4, Long  N2330Q Trailer, Utility  N2410 Tractors, Full-Track, Low Speed  N2410A Tractor, Crawler  N2420 Tractors, Wheeled  N2420A Tractor, Wheeled, Agricultural, 2 Wheel Drive  N2420B Tractor, Wheeled, Agricultural, 4 Wheel Drive  N3895 Miscellaneous Construction Equipment  N3895L Rollers, Construction Equipment","Respondents are requested to submit their submission in the form prescribed herein by the Submission Deadline to the Parkland County Contact identified below in the manner set out below.

All submissions whether delivered in person, sent by mail, or sent by courier should be directed to:

Parkland County Centre
53109A Hwy 779
Parkland County, Alberta T7Z 1R1
RFQ No. Q190619PW – Supply of Side by Side Utility Vehicles 

Attention: Taha Rizvi, Procurement Specialist 

Respondents should submit three (3) hard copies and one (1) electronic copy (in PDF or Word format) on a CD or USB drive in a sealed package. Submissions sent by email or facsimile will not be accepted.

Submissions are to be prominently marked with the RFQ title and number (see RFQ cover), with the full legal name and return address of the respondent, and with the Submission Deadline.",d482143e-2404-4368-beab-de67932bd33f,RFQ No. Q190619PW,AB-2019-03992
Request for Quotation,Goods,,New Loader,2019-07-09T20:00:00,Keaton,Seaby,780-929-4300,,2019-06-12T17:41:08,2019-06-25T22:12:19,"City of Beaumont, Operations Facility
24130 Township Road 510
Beaumont, AB  T4X 2C6",Loader,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=FF4CD14C-D9AE-4047-96BF-DE8C59749041,"N2420D Tractor, Wheeled, 4 X 2 With Backhoe/Loader  N3805F Loaders, Front End  N3805FB Loaders, Scoop Type, Wheeled 4X4, One Cubic Yard or Larger  N3805FC Loaders, Scoop Type, Wheeled 4X4, One Cubic Yard or Less  N3830J Loaders, Scoop Type, Tractor Mounting  WR3805C LOADERS, FRONT END - RENTALS",See RFQ package.,ff4cd14c-d9ae-4047-96bf-de8c59749041,PW19-010,AB-2019-03823
Negotiated Request for Proposal,Goods,,"The City of Edmonton (the “City”) invites bidders to submit bids for
this Sourcing Event. Supply of LRV passenger seats. The Work to be performed by the successful bidder is as outlined in the documents attached to this Sourcing Event.",2019-07-12T22:00:00,Jalal,Surmawala,780-944-5389,,2019-05-22T22:34:47,2019-05-22T22:46:46,,SE 934157 LRV Passenger Seats,Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=398A52E1-9672-4617-B60D-DEB3EF1085ED,N2240 Locomotive and Rail Car Accessories and Components  N2810JSD Seat Assemblies,Please refer to the Sourcing Event Notification attached to this posting for further instructions.,398a52e1-9672-4617-b60d-deb3ef1085ed,SE 934157,AB-2019-03427
Request for Standing Offer,Services,,"The City of Calgary (The City) is seeking up to three (3) consulting firms to
provide multi-disciplinary engineering consulting services to support the
operations and maintenance of The City’s existing drainage infrastructure as
part of implementing Local Drainage Improvement (LDI) projects to address
Local Drainage Issues.
The nature of capital work involves smaller scale stormwater system
infrastructure upgrades that address various service requests from citizens
(i.e. drainage notifications). The LDI projects are generated from issues
arising within the storm network, including overland flooding and damage to
private property. Tasks vary for each site and typically involve field
assesments, civil engineering analysis, engineering report and drawings,
approvals, tendering, and construction.
As LDI assignments arise, schedules and deliverables will be discussed with
the Elligible Consultant. It is expected that assignments may vary in
technical and time demands. Currently there are 14 active drainage issues,
carried forward from previous years, which are expected to be completed
within Q4 2019. Recent solutions have included earth berms, retaining walls,
new short pipe installation or upgrade, new catchbasins, new manholes,
regrading of roadways, pipe maintenance, road maintenance, weeping tile
installation, swale construction, and landscape work. The total average
spend on these LDI projects (including construction) is approximately $800K
total per year.
Each drainage project will vary in scope but may consist of the following
Phases, with each phase being subject to The City’s approval:
• Phase 1 Preliminary Design and Community and Stakeholder Engagement;
•Phase 2 Detailed Design and Preparation of Procurement Documents;
•Phase 3 Procurement Process and Construction Administration; and
•Phase 4 Post Construction Services and Project Closeout
Work will be assigned to the successful firms on a ROTATIONAL basis,
as defined in the SELECTION PROCESS (EVALUATION) section.
This RFSO is open to pre-qualified firms only. Proponents are invited who
have been pre-qualified based on specific information previously submitted
through The City’s Prequalification for Engineering and Architectural
Consultants RFPQ 06-006. Proposals will only be considered from
proponents that have achieved a pre-qualified status in the following
discipline(s):
• Linear Pipe Wastewater; or
•System Hydraulic Analysis; or
•Hydraulic Structures.
To view the list of pre-qualified firms, visit Calgary.ca and search for
“prequalification” –from the results select “Prequalification for Engineering
and Architectural Services.”
Each Master Agreement will have a term of three (3) years. The term of any
Service Level Agreement entered into under a Master Agreement will have a
term appropriate to the completion of the Requirements set out therein.
This procurement process is not intended to create and will not create a
formal legally binding bidding process and will instead be governed by the
law applicable to direct commercial negotiations",2019-07-29T22:00:59,Phillip,Lawrence,403-993-9581,403-268-5523,2019-06-25T21:11:27,2019-06-25T21:13:19,"Bidding documents should be obtained from Merx as shown below.  Bids are to be submitted via the Merx 4 online portal found at www.calgary.merx.com   Hard copies will not be accepted.  Failure to submit via Merx 4 will result in a non-compliant bid.
*Contractors must register on the Merx 4 portal.",Engineering Services for Local Drainage Issues,Alberta,Open,NWPTA/TILMA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=74D26A56-4299-4D6C-8CF6-DEBD87D9C513,"C219A Engineering Services  C219B Engineering Services, N.E.S.",,74d26a56-4299-4d6c-8cf6-debd87d9c513,19-2019,AB-2019-04044
Notice of Proposed Procurement,Goods,2019 RMA Trade Agreements,"Rural Municipalities Association (RMA). The Town of Taber intends to participate in one or more procurements between February 15, 2019 and February 15, 2020.",2020-02-14T19:00:00,Louise,Parsons,4032236012,,2019-02-14T14:12:23,2019-02-14T15:00:00,"A-4900 - 50 Street
Taber, Alberta T1G1T1",Notice of Planned Procurement,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=32C26458-3356-470E-9611-DFA1CF204F6E,"N2420 Tractors, Wheeled  N2420D Tractor, Wheeled, 4 X 2 With Backhoe/Loader  N2610 Tires and Tubes, Pneumatic, Except Aircraft  N3750 Gardening Implements and Tools  N3750E Mowers, Lawn  N3750EB Mower, Lawn, Power  N3750ECA Mower, Lawn, Tractor Propelled, 90 in. Cut, Reel Type, Industrial  N3750ECD Mower, Lawn, Tractor Propelled, Rotary Mower  N3830 Truck and Tractor Attachments  N3895 Miscellaneous Construction Equipment",,32c26458-3356-470e-9611-dfa1cf204f6e,19-001,AB-2019-01085
Request for Proposal,Goods,,"Rural Municipalities of Alberta (""RMA""), on behalf of RMA and its current and potential Members and represented Associations and their Members, which includes local governmental organizations located in all provinces and territories in Canada including but not limited to Alberta, Saskatchewan, Manitoba, Ontario Canada, issues this Request For Proposal (""RFP"") to result in regional and/or national contract solutions under the rules and regulations of the New West Partnership Trade Agreement (""NWPTA""), the Canadian Free Trade Agreement (""CFTA"") and The Canada-European Union Comprehensive Economic and Trade Agreement (""CETA"") for the procurement of Corrugated Steel Culvert Pipe (CSP), Structural Plate and Related Accessories.  

Proposals will be received until July 24, 2019, at 3:30 p.m. Mountain Standard Time at the above address and publicly opened on July 24, 2019, at 3:31 p.m. Mountain Standard Time at the RMA office, 2510 Sparrow Drive, Nisku, Alberta T9E 8N5. Proposals are due no later than July 24, 2019 at 3:30 pm Mountain Standard Time and late proposals will not be considered.",2019-07-24T21:30:00,Dave,Dextraze,1-800-807-3750,,2019-06-27T17:33:02,2019-06-28T18:00:00,"Dave Dextraze, Manager of Vendor Relations,
Rural Municipalities of Alberta (RMA)
2510 Sparrow Drive
Nisku, Alberta 
T9E 8N5","Corrugated Steel Culvert Pipe (CSP), Structural Plate and Related Accessories",Alberta,Open,NWPTA/TILMA & CFTA & CETA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=0CB464A8-E0D0-42B4-AA42-E02FA1B27719,"5133D Sewers/ Drainage  N4710AB Pipe, Culvert, Except Nestable  N4710AC Pipe, Culvert, Nestable  N5420 Bridges, Fixed and Floating  N5660D Rail, Guard, Highway  N9515BE STEEL SHEETS, CORRUGATED","The Rural Municipalities of Alberta (RMA), including, but not limited to, our partnering associations, Saskatchewan Association of Rural Municipalities (SARM), Saskatchewan Urban Municipalities Association (SUMA) and the Association of Manitoba Municipalities (AMM) are issuing a Request for Proposal for Corrugated Steel Culvert Pipe (CSP), Structural Plate and Related Accessories. 

The value of contracts for this program are projected at $3,000,000 annually with increasing sales throughout Canada. The projected value set out in this RFP are based on the projected needs for the membership for the 2019-2020 fiscal year and must be treated by proponents as estimates only and are not indicative of any confirmed program commitment. 

This Request for Proposal will result in an exclusive or multiple award. This non-exclusive arrangement is for a proposed three (3) year term in length with the option to renew for one (1) two (2) year term. The proposal as listed is not intended to provide a solution for all procurement needs, but rather as a tool that members can access to reduce the administrative burden of the procurement and tendering process.

It is not a requirement for the Proponent to be able to service all geographical areas identified within this RFP. Selected proponent(s) may be allocated a Canada wide contract or a contract for specific geographical locations or provinces based on supplier network and ability to provide service.

RMA, SARM, SUMA, and AMM are committed to the ongoing open competition process for this contract award and, as such, will ensure that an open process is conducted. This Request for Proposal (RFP) will result in a contract solicited by RMA under the rules and regulations of the New West Partnership Trade Agreement (NWPTA), the Canadian Free Trade Agreement (CFTA) and The Canada-European Union Comprehensive Economic and Trade Agreement (CETA) for the procurement of Corrugated Steel Culvert Pipe (CSP), Structural Plate and Related Accessories.",0cb464a8-e0d0-42b4-aa42-e02fa1b27719,AB-2019-04097,AB-2019-04097
Request for Tender,Services,,Calgary Housing Company is seeking a consultant(s) to perform building condition assessment services on approximately 53 properties throughout the City of Calgary.,2019-07-23T22:00:59,Laura,Dutton,e-mail all questions,,2019-06-27T16:40:02,2019-06-27T16:46:03,"Calgary Housing Company
South District Office  
#18, 6624 Centre Street S.E. 
Calgary, Alberta 
T2H 0C6",Building Condition Assessment (BCA) Services,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=41B5C39C-094C-429D-8C03-E13A499119A0,R019F Consulting Services,"1. Option Pre Proposal Meeting 
    July 9, 2019 at 11AM 
    6624 Centre Street South 

2. Submission Deadline 
    July 23, 2019 at 4pm 
    6624 Centre Street South",41b5c39c-094c-429d-8c03-e13a499119a0,2019022,AB-2019-04090
Invitation to Tender,Construction,,"INVITATION TO TENDER

VILLAGE OF RYLEY
2019 Capital Works

Sealed Tenders clearly marked on the envelope as to contents will be received at the MPE Engineering Ltd. office, Front Reception desk, Suite 101, 10630–172 Street, Edmonton, AB T5S 1H8 before 2:00 pm local time, Thursday, July 4, 2019 for the construction of:

VILLAGE OF RYLEY
2019 Capital Works

The work included in this project is located in Ryley, Alberta.

Major work items are as follows: 
.1  75mm Hot-Mix Asphalt (Cement-Stabilized Subgrade, 20mm Crushed) - 4,439 m2
.2  Cold-Mix Removal and Salvage - 4,800 m2
.3  New Curb & Gutter - 97 l.m.
.4  Curb & Gutter Removal - 54 l.m.
.5  Remove 300mm CSP - 48 l.m.
.6  Install 300mm CSP - 24 l.m.
.7  Supply & Install Shallow Catch Basin - 1 L.S.
.8  Optional: Cold-Mix Overlay - 5,604 m2
.9  Optional: Base Repair - 842 m2
.10  Optional: Miscellaneous Asphalt Repairs - 330 m2
.11  Optional: Remove Concrete Pad @ 54 Ave/49 St - 30 m2
.12  Optional: Cold-Mix Removal and Salvage - 842 m2

Tender documents are available in electronic format only through BuildWorks Canada after 2:00:00 PM on Tuesday, June 18, 2019.  

No general site visit will be held for this project. 

Each Tender must be accompanied by a bank draft or bid bond in the amount of ten (10%) percent of the Tender Price, payable to the Village of Ryley.

Tenderers are also required to supply a Consent of Surety Form in the amount equal to fifty (50%) percent of the Contract sum.

The Owner reserves the right to waive informalities in, or reject any or all tenders, or accept the Tender deemed most favourable in the interest of the Owner.
 
Tenders will be opened in public.

Village of Ryley
5005-50th Street
P.O. Box 230
Ryley, AB
T0B 4A0
Telephone: 780-663-3653

MPE Engineering Ltd.
Suite 101, 10630-172 Street
Edmonton, AB
T5S 1H8
Telephone: 780-486-2000",2019-07-04T20:00:00,Mike,Dowhun,780-486-2000,780-486-9090,2019-06-21T22:07:39,2019-06-21T22:58:50,"MPE Engineering Ltd.
Suite 101, 10630-172 Street
Edmonton, AB
T5S 1H8",2019 Capital Works,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=BD0E555E-1740-4D18-8C06-E13C2A2C97AB,"5114C Excavating and Earthmoving Work  5131BB Paving Contractor Services (except Mud Jacking)  5133D Sewers/ Drainage  5154A Concrete Work  N5610LE Gravel, Road","Sealed Tenders clearly marked on the envelope ""Village of Ryley - 2019 Capital Works""",bd0e555e-1740-4d18-8c06-e13c2a2c97ab,5582-004-00,AB-2019-04001
Negotiated Request for Proposal,Services,,"The City requires a Contractor to provide OnDemand Mobility Services as well as the Technology to assist with the deployment of a shared-ride OnDemand service. A turnkey solution is desired including but not limited to software application/platform, vehicles, drivers, and other elements.",2019-07-08T20:00:59,Cheryl,Comeau,403-948-8402,,2019-05-31T21:49:40,2019-05-31T21:54:06,"City of Airdrie,
400 Main Street SE
Airdrie, AB T4B 3C3 

Attention: Cheryl Comeau, Procurement Services",Transportation Services – On Demand Transit Services,Alberta,Open,NWPTA/TILMA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=56B9D4FB-0347-4FB2-9526-E16EC06A3A3D,"V401B Transportation  V401I Transportation Services, Not Elsewhere Specified","Proposals will be received up to 2:00:59 P.M. Local time on  July 3, 2019.

All proposals should be in a sealed envelope, signed and marked as follows: Transportation Services – On Demand Transit 

Proposals must be received by the submission deadline outlined above.  For practical reasons, proposals received after the submission deadline will be returned unopened and will not be considered.  The official time of receipt shall be determined by the central system telephone clock.  Proposals shall be time-stamped and initialled upon receipt by the City.  The City will not accept proposals by fax or email. 

Submit 1 hard copy and 1 electronic copy for evaluation.",56b9d4fb-0347-4fb2-9526-e16ec06a3a3d,R888-2019-CM,AB-2019-03644
Invitation to Tender,Construction,,"The Contract includes, but is not limited to the following work:
Grading, Subgrade Preparation, Granular Base Course, Asphalt Concrete Pavement and Other Works
SCHEDULE “A” Township Road 742 – CR.1906 (The project is approximately 3,200m long.)
SCHEDULE “B” Township Road 742 and Highway 2 Intersection Treatment – CR. 1906 
SCHEDULE “C” Spruce Villa Estates – SD. SPV19 (The project is approximately 2,300m long.)
SCHEDULE “D” Range Road 62 and Highway 672 Intersection Treatment – RD. RTI19",2019-07-05T20:00:00,Agnes,Pasko,1(800)539-1229,,2019-06-26T21:22:16,2019-06-26T21:40:52,,"Grading, Subgrade Preparation, Granular Base Course, Asphalt Concrete Pavement",Alberta,Open,NWPTA/TILMA & CFTA,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=3E25F555-24AC-43EE-9304-E210F37A2AA7,"5131C Highways, Roads, Railways,  Airfield Runways  5139A Construction Services, Not Elsewhere Specified  5139B Engineering Works, Not Elsewhere Specified  5139C General Heavy Construction",,3e25f555-24ac-43ee-9304-e210f37a2aa7,GP1903,AB-2019-04076
Invitation to Bid,Construction,"Installation of one portable classroom to Our Lady of the Snows Academy in Canmore, AB.","Bids are invited:

a) For the installation of one portable MODUS Contract 10 Heavy Duty Unit Type A5 classroom to existing portables at Our Lady of the Snows Academy located at 3100 Stewart Creek Drive, Canmore, AB T1W 3M6. 

Bidding to close July 9, 2019. Construction to begin no sooner than July 16, 2019. Construction to complete by August 23, 2019.",2019-07-09T20:00:00,John,Iwanski,403 - 457-5464,,2019-05-31T16:02:12,2019-06-18T18:08:46,"Christ the Redeemer Catholic Schools
c/o Iwanski Architecture Inc. 
509 - 2nd Street SW
Calgary, AB
T2P 1N8",Our Lady of the Snows Academy - Portable Addition,Alberta,Open,Non-Applicable,Open & Competitive,,Alberta,APC,,http://vendor.purchasingconnection.ca/Opportunity.aspx?Guid=F1DDCDB9-0C9F-4EB8-8B67-E22F498F30FD,5127B Construction of Educational Buildings,,f1ddcdb9-0c9f-4eb8-8b67-e22f498f30fd,19009,AB-2019-03625
